property_type,region,area_m2,price_usd,state,lat,lon
apartment,Northeast,155.0,296448.85,,,
apartment,Northeast,195.0,452474.56,,,
apartment,Northeast,127.0,180989.82,,,
apartment,Northeast,128.0,152905.19,,,
apartment,Northeast,186.0,234038.56,,,
apartment,Northeast,212.0,415028.39,,,
apartment,Northeast,98.0,227797.54,,,
apartment,Northeast,55.0,140423.14,,,
apartment,Northeast,168.0,312051.42,,,
apartment,Northeast,180.0,277725.76,,,
apartment,Northeast,75.0,85703.4,,,
apartment,Northeast,116.0,208450.35,,,
apartment,Northeast,143.0,253385.75,,,
apartment,Northeast,210.0,327653.99,,,
apartment,Northeast,139.0,234038.56,,,
apartment,Northeast,75.0,131061.59,,,
apartment,Northeast,128.0,234038.56,,,
apartment,Northeast,59.0,145790.42,,,
apartment,Northeast,70.0,126880.1,,,
apartment,Northeast,90.0,131061.59,,,
apartment,Northeast,170.0,202833.42,,,
apartment,Northeast,230.0,405666.85,,,
apartment,Northeast,100.0,227797.54,,,
apartment,Northeast,185.0,212194.96,,,
apartment,Northeast,67.0,131061.59,,,
apartment,Northeast,103.0,186669.16,,,
apartment,Northeast,122.0,249641.14,,,
apartment,Northeast,230.0,296448.85,,,
apartment,Northeast,166.0,187230.85,,,
apartment,Northeast,102.0,265243.71,,,
apartment,Northeast,164.0,414404.29,,,
apartment,Northeast,120.0,98296.19,,,
apartment,Northeast,89.0,160706.48,,,
apartment,Northeast,109.0,146664.17,,,
apartment,Northeast,71.0,106097.48,,,
apartment,Northeast,100.0,109217.99,,,
apartment,Northeast,100.0,146664.17,,,
apartment,Northeast,156.0,390064.28,,,
apartment,Northeast,140.0,234038.56,,,
house,Northeast,73.0,81133.37,,,
apartment,Northeast,71.0,81133.37,,,
apartment,Northeast,71.0,78012.85,,,
apartment,Northeast,143.0,296448.85,,,
apartment,Northeast,158.0,180989.82,,,
apartment,Northeast,75.0,77388.75,,,
apartment,Northeast,128.0,235843.06,,,
house,Northeast,156.0,193471.88,,,
house,Northeast,170.0,171628.28,,,
apartment,Northeast,136.0,109217.99,,,
apartment,Northeast,68.0,101416.71,,,
apartment,Northeast,71.0,121700.05,,,
apartment,Northeast,165.0,343256.56,,,
apartment,Northeast,71.0,170068.02,,,
apartment,Northeast,72.0,118579.54,,,
apartment,Northeast,83.0,132621.85,,,
apartment,Northeast,67.0,99856.45,,,
apartment,Northeast,70.0,102976.97,,,
apartment,Northeast,67.0,102976.97,,,
apartment,Northeast,156.0,321412.96,,,
apartment,Northeast,54.0,93615.42,,,
apartment,Northeast,195.0,390064.28,,,
apartment,Northeast,142.0,262123.19,,,
apartment,Northeast,137.0,196592.39,,,
apartment,Northeast,128.0,152905.19,,,
apartment,Northeast,111.0,174748.79,,,
house,Northeast,120.0,121700.05,,,
apartment,Northeast,71.0,81133.37,,,
apartment,Northeast,186.0,234038.56,,,
apartment,Northeast,186.0,411471.01,,,
apartment,Northeast,128.0,234038.56,,,
apartment,Northeast,122.0,249641.14,,,
apartment,Northeast,59.0,145790.42,,,
apartment,Northeast,140.0,234038.56,,,
apartment,Northeast,180.0,277725.76,,,
apartment,Northeast,210.0,246520.62,,,
apartment,Northeast,59.0,113898.77,,,
apartment,Northeast,71.0,106097.48,,,
apartment,Northeast,55.0,140423.14,,,
apartment,Northeast,98.0,174748.79,,,
apartment,Northeast,127.0,180989.82,,,
apartment,Northeast,235.0,165387.25,,,
apartment,Northeast,195.0,452474.56,,,
apartment,Northeast,170.0,202833.42,,,
apartment,Northeast,95.0,187230.85,,,
apartment,Northeast,230.0,405666.85,,,
apartment,Northeast,185.0,212194.96,,,
apartment,Northeast,90.0,184110.34,,,
apartment,Northeast,75.0,131061.59,,,
apartment,Northeast,166.0,187230.85,,,
apartment,Northeast,100.0,227797.54,,,
apartment,Northeast,71.0,78012.85,,,
house,Northeast,250.0,374461.71,,,
